"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18138489303.8245","19035576935.5743","19050496352.4129","18449971991.1635","18528615155.4141","18470069382.2707","18424075499.6481","18423482249.4957","18755977474.6145","18990067571.2183","19313099654.7177","19534222265.0183","19937047456.0366","20404376575.7824","",
"Belarus","BLR","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18429958007.8968","17221808033.0063","15530802579.5258","14525122076.6629","12922680327.4696","11749359631.2364","12145348265.4408","13336297711.0514","14866104722.3688","16088907323.2362","17260523739.971","19631458492.4145","21246880325.7934","22459312611.2077","24139796740.6849","27032218443.3226","29886228610.6844","33256285767.0049","37969607068.0288","37966069421.0777","41009331990.6009","41463547348.3909","44948669179.0818","48701540785.1013","50258914819.4173","49274858047.71","48066527349.3656","49736146076.4249","52814490967.2903","54807391646.158","",
"Belize","BLZ","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","341953176.331645","285396686.562079","312463702.224211","292556782.131503","261713219.557808","252535896.748011","242712975.107132","276695189.925029","312370007.080529","342194876.648427","362941987.0298","395804351.900574","636981618.811621","658698130.339661","692495912.968361","713493402.967329","725271630.469249","744016341.364021","788440320.758743","842808240.32307","909862009.880608","993303386.804435","1069094012.66575","1111217135.73665","1107433364.28304","1095100583.33539","1072196281.67542","1119694500.74653","1108786690.88098","1152844906.33031","1191827550","1234288470.52906","1255549662.50652","1308668202.82096","1327693207.04845","1393213470.41502","1474820937.08277","1424281912.42786","1409322921.21391","1413079543.17879","",
"Bermuda","BMU","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088996000","","","","","","","","","","",
"Bolivia","BOL","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","3019427204.63177","3251619676.55659","3289547530.53633","3481634158.37052","3525173794.01293","3838659170.63831","4110141604.64396","4345255637.113","4502510556.43326","4781676455.55227","5088502829.07941","5302089481.17729","5419629778.10942","5893548647.96487","6127952859.04626","6440817472.93914","6927136693.81368","7263073475.96624","7120131247.85569","7346719480.11295","7377231858.98406","7512817744.47837","7227500776.96886","6796694043.8009","6842248528.65669","6969703308.91349","7091508980.96004","7241948724.42599","7334388116.30736","7456157346.11159","7672662389.71355","7927832091.77235","8211148099.85328","8475522551.67348","8726385341.33936","9026035323.0802","9312693925.75714","9792174599.7239","10287636598.5748","10577885042.4457","10818371324.097","10978409954.1913","11223603452.2512","11460680982.6204","11797932630.642","12191159562.8746","12674117387.409","13195637271.4719","13890910403.0407","14403884861.6034","14959204488.9736","15778325737.0868","16510994614.1071","17565181057.3664","18549126467.6641","19617549629.5296","20231696394.7458","21194830959.26","22132271617.0531","22948468058.6824","",
"Brazil","BRA","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","201566113779.377","219468406479.941","230785953902.375","234123061562.477","238171976504.131","235839512882.049","246114003981.566","268266549907.784","295613495130.592","292067483471.244","336347362264","376524111146.976","417161212491.376","458485436990.132","500142906070.486","496929047626.268","571052412663.199","612797591122.715","629178820358.413","692106407009.266","740620545728.234","722150939316.303","752270720277.564","769748003623.795","813257766992.411","840153874791.871","878872250446.925","893393457429.132","899000912768.378","916996331331.924","908238332453.922","955171375682.128","957565854138.245","995389827819.464","1051111335209.19","1122874734083.67","1145856882219.19","1175737550193.27","1178157473624.38","1186347969361.07","1222061422351.07","1236826045418.37","1260555300420.65","1260278912517.05","1309577220952.71","1359640059913.6","1425770658992.72","1508750726580.26","1590470761255.12","1655831518133.24","1750302410186.45","1823653968565.26","1882223470327.42","1938948806048.2","1976174878353.8","1920607834185.99","1864158459072.31","1889975102830.83","1921343800704.87","1946570882446.57","",
"Barbados","BRB","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4221510750","","","","","","","","","","",
"Brunei Darussalam","BRN","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2503432278.83637","2591766644.26543","2567333750.28318","2926935872.31693","3248948932.32732","3148084879.55714","3104231010.53383","3307838484.83295","3559058785.69658","3304079600.63298","3284032071.5507","3282601844.42233","3505804552.50089","3481583908.0089","3702295508.2139","4014421218.35208","3982981964.29594","4295303422.1499","4660794550.77307","4683097395.70709","4917841151.48314","5053171983.86505","5322045809.71248","5520473487.01818","5776043142.24283","5746865218.01845","5748752360.94652","5505041834.28987","5847576427.68646","5955689746.65069","6171212455.551","",
"Bhutan","BTN","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480683470.151936","469975439.510468","545600939.935547","621089553.72965","672688286.802214","783228677.312713","609974236.56333","891708206.882925","840022050.532324","957751639.672621","1018064267.87503","1071096068.72717","1049712631.69258","1445410714.96953","1408285949.82925","1593696088.43749","1546965108.17088","1623742768.07606","1818979007.8577","1948499007.28466","",
"Botswana","BWA","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","811954644.585909","917388548.652684","1009085142.93471","1108971269.28463","1231286236.31966","1298916083.503","1328953270.29878","1329825058.59259","1318782356.96183","1447701803.45414","1670642588.05738","1840139942.85968","2047679084.36312","2308503169.12237","2712168923.60528","3139945519.93184","3365395194.45723","3481262633.87338","3576589109.05775","3703284802.91121","4143652058.49422","4303504866.94058","4827551071.89294","5005633201.89729","5042859198.3848","5012801405.34361","4845387358.79722","5089948493.08695","5155582734.88995","5394078202.80078","5617079795.47974","6169374018.62043","6878149262.06107","7825760996.48043","8206108248.26563","8810355569.94819","9441127490.2944","9694187493.64044","10786508916.6288","11179107975.6512","11576588749.6639","11837929674.9927","12437117892.0446","12929796637.6258","13373305288.1844","",
